2018-03-18 07:23:04.179618 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper3_a004_s051.cpf', '-o', '../solutions_04/hyper3_a004_s051_UNSAT-SAT.out', '-s', '../stat_files_04/hyper3_a004_s051_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.189582 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper3_a004_s207.cpf', '-o', '../solutions_04/hyper3_a004_s207_UNSAT-SAT.out', '-s', '../stat_files_04/hyper3_a004_s207_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.191219 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper9_a025_s247.cpf', '-o', '../solutions_04/hyper9_a025_s247_UNSAT-SAT.out', '-s', '../stat_files_04/hyper9_a025_s247_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.200097 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_32x32_a256_s540.cpf', '-o', '../solutions_04/grid_32x32_a256_s540_UNSAT-SAT.out', '-s', '../stat_files_04/grid_32x32_a256_s540_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.202132 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_32x32_a768_s453.cpf', '-o', '../solutions_04/grid_32x32_a768_s453_UNSAT-SAT.out', '-s', '../stat_files_04/grid_32x32_a768_s453_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.205315 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper9_a192_s895.cpf', '-o', '../solutions_04/hyper9_a192_s895_UNSAT-SAT.out', '-s', '../stat_files_04/hyper9_a192_s895_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.210012 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_08x08_a016_s523.cpf', '-o', '../solutions_04/grid_08x08_a016_s523_UNSAT-SAT.out', '-s', '../stat_files_04/grid_08x08_a016_s523_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.215741 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_04x04_a008_s218.cpf', '-o', '../solutions_04/grid_04x04_a008_s218_UNSAT-SAT.out', '-s', '../stat_files_04/grid_04x04_a008_s218_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.223960 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_32x32_a768_s651.cpf', '-o', '../solutions_04/grid_32x32_a768_s651_UNSAT-SAT.out', '-s', '../stat_files_04/grid_32x32_a768_s651_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.225756 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_16x16_a096_s246.cpf', '-o', '../solutions_04/grid_16x16_a096_s246_UNSAT-SAT.out', '-s', '../stat_files_04/grid_16x16_a096_s246_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
